Movie Title, Lead 1 Gender, Lead 2 Gender, Writer Gender, Director Gender, Lead 1 Age, Lead 2 Age, Passes Bechdel Test, MPAA Rating
Grumpier Old Men (1995), Male, Female, Male, Male, 69, 65, No, PG-13
Sabrina (1995),Male, Female, Male, Male, 53, 30, No, PG
The American President (1995),Male, Female, Male, Male, 80, 66, No, PG-13
Cutthroat Island (1995),Female, Male, Male, Male, 39, 34, No, PG-13
Sense and Sensibility (1995),Female, Male, Female, Male, 35, 19, Yes, PG
Leaving Las Vegas (1995),Male, Female, Male, Male, 32, 31, No, R
Persuasion (1995),Female, Male, Male, Male, 29, 34, Yes, PG
Wings of Courage (1995),Male, Female, Male, Male, 1960, 1961, ?, G
Carrington (1995),Male, Female, Male, Male, 54, 29, Yes, R
Clueless (1995),Female, Male, Female, Female, 18, 25, Yes, PG-13
How to Make an American Quilt (1995),Female, Male, Female, Female, 26, 35, Yes, PG-13
Pocahontas (1995),Female, Male, Male, Male, 1967, 1956, Yes, G
When Night Is Falling (1995),Female, Female, Female, Female, 1968, 1969, Yes, R
Il Postino (The Postman) (1994),Male, Female, Male, Male, 43, 25, No, PG
Two if by Sea (1996), Male, Female, Male, Male, 38, 32, No, R
French Twist (Gazon maudit) (1995),Female, Female, Female, Female, 42, 32, Yes, R
Bed of Roses (1996),Male, Female, Male, Male, 37, 31, No, PG
Things to Do in Denver when You're Dead (1995),Male, Female, Male, Male, 37, 34, No, R
Angels and Insects (1995),Male, Female, Male, Male, 46, 30, No, R
Vampire in Brooklyn (1995),Male, Female, Male, Male, 34, 37, No, R
The Bridges of Madison County (1995),Male, Female, Male, Male, 65, 45, No, PG-13
If Lucy Fell (1996),Male, Female, Male, Male, 35, 30, No, R
Boomerang (1992),Male, Female, Male, Male, 31, 27, No, R
Chungking Express (1994),Male, Female, Male, Male, 30, 24, No, PG-13
Pie in the Sky (1995),Male, Female, Male, Male, 34, 29, No, R
Up Close and Personal (1996),Male, Female, Male, Male, 57, 29, No, PG-13
Rob Roy (1995), Male, Female, Male, Male, 43, 46, No, R
Desperado (1995),Male, Female, Male, Male, 35, 29, No, R
First Knight (1995),Male, Female, Male, Male, 40, 30, No, PG-13
Mad Love (1995),Male, Female, Male, Male, 34, 24, No, PG-13
Moonlight and Valentino (1995),Female, Male, Female, Female, 38, 35, Yes, R
Something to Talk About (1995),Female, Male, Female, Male, 39, 45, No, R
Total Eclipse (1995),Male, Male, Male, Female, 21, 33, No, R
A Walk in the Clouds (1995),Male, Female, Male, Male, 30, 25, No, PG-13
Before Sunrise (1995),Male, Female, Male, Male, 25, 25, Yes, R
Circle of Friends (1995),Female, Male, Female, Male, 26, 27, Yes, R
Don Juan DeMarco (1995),Male, Female, Male, Male, 52, 30, No, PG-13
French Kiss (1995),Male, Female, Male, Male, 44, 29, No, PG-13
